dulat	POS	gloss
ảmrr	DN m.	“Blessed”, one of the two messenger-boys of the goddess ảṯrt
ảrš	DN m.	a monster (“many-headed”, “whale”)
ảrṣy 	DN f.	Arṣay/Arsay
ảtn (II)	DN m.	Attenu
ảṯrt (II)	DN f.	ʾAṯiratu/Athirat/Asherah/El’s wife
ảymr	DN m.	name of a magic mace
bʕl (II)	DN m.	Baʿlu/Baal
ḏbb	DN f.	mythical female being defeated by Anat (etym. unc.)
dmrn	DN m.	the Powerful One/Valiant One/title of Baal
gpn (III)	DN m.	Gupan/one of Baal’s messenger-boys
gṯr	DN m.	Gaṯaru/Gašru/eponym of the dead and deified kings
hd(d)	DN m.	Haddu/Hadad
ḫss	DN m.	Ḫasisu/Khasis
hyn	DN m.	Hayyānu/alt. name of the god kṯr (Kothar)
ỉl (I)	DN m.	ʾIlu/Ilu/El
ỉlmlk	PN m.	ʾIlimalku/Ilimilku/Elimelek
ksả	DN f.?	second component of the double-barrelled divine name yrḫ w ksả, a lunar deity
kṯr (III)	DN m.	Koṯaru/Kothar
ltn(I)	DN m.	Lotan/Litan/Litanu
mṣrm	TN	Egypt
mt (II)	DN m.	Mot/Death
nhr	DN m.	Naharu/“River”/alternative DN of the god ym
nqmd	PN m.	Niqmaddu II
pdry	DN f.	Pidray
qdš (III)	DN m.	“The Holy One”, epithet of the god ỉl/“The Holy One”, name of one of the messenger-boys of the goddess ảṯrt
qẓb	DN m.	name of a demon (?)
šbny	GN m.	Shubanite
šlyṭ	PN m.	Šaliyaṭu
šnm	DN m.	Šunama/Shunama/second member of the double-barrelled divine name ṯkmn w šnm, origin unknown 
ṣpn	TN	Ṣapānu/Zaphon/the mountain dwelling of bʕl deified
špš	DN f.	Šapšu/Shapsh/Shapshu
ṯkmn	DN m.	Ṯukamuna/Thukamuna/first element of the double-barrelled DN ṯkmn w šnm, origin unknown 
ṭly	DN f.	Tallay
tnn (I)	DN m.	“dragon” ym’s primordial ally or double
ṯrmn (I)	DN m.	term for the kings of Ugarit 
tṯb	DN m.	Teṯo/Hurrian storm god
ủgr (II)	DN m.	Ugar/one of the two messenger-boys of Baal
ym	DN m.	Yammu/the god “Sea”
yrḫ	DN m.	Yariḫu/Yarikh
yw	DN m.	alternative (ancient?) name of the god ym
yʕbdr	DN f.	"Yaʿibdarru/""(Daughter) of the Wide World""/attribute of ảrṣy, daughter of the god bʕl (etym. unc.)"
ʕnt (I)	DN f.	ʿAnatu/Anat
ʕtk (I)	DN m.	a monster (“the Savage One”?)
ʕṯtr	DN m.	ʿAṯtar
ʕṯtrt (I)	DN f.	ʿAṯtartu/Astarte/Ishtar
thm	DN m. the Ocean/Primordial Ocean
thmt	DN f. the Ocean/Primordial Ocean
ugrt	TN	Ugarit